"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"75090","8/9/2023","8/11/2023","32350","7.6","","0.15","HIGH","5.5","378.95","33.86","22.06","336.3","8.5","2.16","10.66","7.34","5.17","2.17","62.22","2069.69","50.6","25.39","9.94","0.36","3.46","0.17","241.59","17.11","112.68","15.24","1.87","22.06","0","2.17","0","32.62","88.35","16.89","74.66","136.98","22.95","88.35","65.4","68.01","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32351","6.9","","0.15","NONE","4.5","417.75","24.93","16.88","271.32","5.13","1.75","6.88","7.07","4.63","2.44","44.44","1195.91","77.35","83.88","7.13","3.05","7.22","0.32","205.14","20.42","153.97","16.08","2.1","16.88","0","2.44","0","30.32","64.14","16.26","53.33","100.85","13.85","64.14","50.29","52.3","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32352","6.9","","0.11","NONE","5.1","154.35","29.74","14.87","208.32","11.7","6.27","17.97","8.29","5.03","3.26","49.52","889.36","146.86","101.64","10.35","3.51","12.08","0.54","115.75","17.46","74.1","14.01","1","14.87","0","3.26","0","18.52","88.68","19.07","59.43","130.71","31.59","88.68","57.09","59.37","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32353","5.9","6.3","0.11","NONE","3.8","78.82","22.7","12.04","136.41","8.83","2.12","10.95","14.86","10.9","3.96","115.49","298.01","187.38","43.6","6.5","4.15","3.37","2.87","68.05","17.78","57.78","11.33","1.13","12.04","0","3.96","0","11.81","62.07","34.19","138.58","149.57","23.84","62.07","38.22","39.75","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32354","5.6","6.3","0.07","NONE","2.9","54.04","16.29","9.89","106.66","5.71","1.41","7.12","23.18","19.6","3.58","35.66","272.53","210.33","40","4.02","3.48","2.26","2.65","62.19","15.29","50.67","10.78","1.55","9.89","0","3.58","0","8.53","45.94","53.32","42.8","93.7","15.42","45.94","30.52","31.74","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32355","6.0","6.3","0.09","NONE","2.7","92.53","16.81","9.64","134.14","4.81","0.89","5.7","7.19","4.98","2.21","37.51","338.71","210.95","52.01","5.74","2.07","3.61","4.39","48.62","14.82","68.98","13.92","1.34","9.64","0","2.21","0","12.9","41.42","16.53","45.01","73.18","12.99","41.42","28.43","29.57","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32356","6.9","","0.23","NONE","1.9","41.3","84.25","13.36","168.43","67.9","1.04","68.94","154.49","144","10.49","226.59","1349.73","185.85","76.58","30.4","12.08","8.31","1.73","101.66","56.76","24.52","12.61","0.19","13.1","0.25","7.72","2.77","8.84","221.52","348.95","271.91","526.85","183.33","221.52","38.19","39.72","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32357","7.8","","0.13","NONE","1.7","13.5","17.6","12.08","134.08","1.65","0.66","2.31","18.16","15.5","2.66","46.37","910.91","190.73","61.61","7.87","3.38","5.51","0.96","91.5","23.37","10.07","11.1","2.19","4.87","7.21","0.8","1.86","5.24","19.37","37.5","55.64","65.22","4.45","19.37","14.92","15.51","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32358","6.8","","0.18","NONE","23.5","923.74","45.2","31.51","549.29","5.71","11.4","17.11","59.99","50.5","9.49","306.13","798.67","38","37.24","14.84","8.5","2.56","0.38","199.59","46.86","168.17","17.43","2.3","31.51","0","9.49","0","60.32","131.27","137.98","367.35","383.67","15.42","131.27","115.86","120.49","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
"75090","8/9/2023","8/11/2023","32359","7.8","","0.14","HIGH","3.6","36.12","18.98","10.78","160.8","5.43","1.93","7.36","14.78","11.3","3.48","57.37","2175.28","116.35","73.4","38.36","15.84","10.92","3.06","95.07","24.94","22.47","14.92","1.31","9.69","1.09","2.35","1.14","7.91","46.03","31.39","68.84","96.73","14.66","46.03","31.37","32.62","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","9"
